"임가번호","연령별","지역별","전/겸업별","업종별","가구원수별","임지규모별","임가소득","경상소득","임가순소득","임업소득","임외소득","이전소득","비경상소득","가계지출","소비지출","비소비지출","임가처분가능소득","임가경제잉여","임업총수입","임업경영비","겸업소득","겸업수입","겸업지출","사업외소득","사업외수입","사업외지출","재산적 수입","재산적 지출","가중치"
4106,5,34,3,8,1,1,20200650,20200650,12760650,16544450,-3783800,7440000,0,25679600,20169600,5510000,14690650,-5478950,20489400,3944950,-3783800,504000,4287800,0,0,0,8864400,80000,190.416666666667
4107,5,34,2,8,1,2,10761007,10661007,3442507,8373315,-4930808,7218500,100000,19832310,18028810,1803500,8957507,-9071303,13105150,4731835,-4930808,2745600,7676408,0,0,0,8621410,2225000,190.416666666667
4108,3,34,2,3,1,1,54074276,43190093,34192539,27904136,6288403,8997554,10884183,28204452,19503152,8701300,45372976,25869824,57038127,29133991,2088403,25467120,23378717,4200000,4200000,0,69612830,4050000,65.9565217391304
4109,2,34,2,3,4,1,85499544,77089956,76101234,54395292,21705942,988722,8409588,50913796,45008646,5905150,79594394,34585748,67671680,13276388,2777140,4704630,1927490,18928802,18928802,0,13130770,32200000,65.9565217391304
4110,5,34,2,3,1,1,45034139,39044789,34785589,7829655,26955934,4259200,5989350,24763144,23340444,1422700,43611439,20270995,8927380,1097725,25841934,28210284,2368350,1114000,1114000,0,8000000,18320000,65.9565217391304
4112,5,34,3,3,1,2,12308122,11808122,7054902,4903112,2151790,4753220,500000,25634848,23842388,1792460,10515662,-13326726,7074000,2170888,-1918210,449800,2368010,4070000,4070000,0,21124979,1700000,65.9565217391304
4114,3,34,3,6,1,1,35445178,33760474,32851474,12632657,20218817,909000,1684704,43647570,38839130,4808440,30636738,-8202392,52794824,40162167,19473317,41206084,21732767,745500,745500,0,36732146,39071063,33.5
4115,4,34,3,3,1,1,123456421,116981421,111045421,37146972,73898449,5936000,6475000,32055775,27365645,4690130,118766291,91400646,41897290,4750318,73111098,89968668,16857570,787351,787351,0,3500000,26111485,65.9565217391304
4116,4,34,2,3,1,2,130559356,126147638,116301113,50936800,65364313,9846525,4411718,59571832,46975092,12596740,117962616,70987524,57930297,6993497,62669187,100460618,37791431,2695126,2695126,0,126024866,13968338,65.9565217391304
4118,5,34,3,8,1,2,5767572,5767572,4327572,-1151742,5479314,1440000,0,18521365,15235215,3286150,2481422,-12753793,3594153,4745895,5479314,8376150,2896836,0,0,0,18607708,2050000,190.416666666667
4119,4,34,3,6,3,2,45221506,42651506,38942596,28108812,10833784,3708910,2570000,10670461,10559461,111000,45110506,34551045,43219892,15111080,6783784,35170299,28386515,4050000,4050000,0,3040000,2806000,33.5
4120,5,34,3,8,1,1,8960957,7710957,-171543,89681,-261224,7882500,1250000,15903401,14182401,1721000,7239957,-6942444,4758730,4669049,-311224,1927501,2238725,50000,50000,0,11200000,360000,190.416666666667
4121,4,34,3,6,1,1,87108625,87108625,78264625,74789275,3475350,8844000,0,19310446,17741976,1568470,85540155,67798179,99950800,25161525,3317850,3979000,661150,157500,157500,0,16640000,45900000,33.5
4123,3,40,3,5,1,1,62636225,62636225,62636225,39600645,23035580,0,0,23071578,18027218,5044360,57591865,39564647,47905000,8304355,19360580,34235000,14874420,3675000,3675000,0,13177569,30300000,103.966666666667
4124,5,40,3,1,1,2,27164032,27164032,3451942,-372335,3824277,23712090,0,37230127,28600187,8629940,18534092,-10066095,0,372335,2900086,7971456,5071370,924191,924191,0,25247136,1230000,103.966666666667
4125,5,40,3,2,2,1,65629250,39147690,31912140,78998,31833142,7235550,26481560,49758369,43805646,5952723,59676527,15870881,872400,793402,31742476,46698897,14956421,90666,90666,0,17349114,41150000,103.966666666667
4126,4,40,3,2,1,3,-39344074,-39344074,-39344074,-45310874,5966800,0,0,20236861,18575130,1661731,-41005805,-59580935,0,45310874,5966800,6555000,588200,0,0,0,19000000,1632000,103.966666666667
4127,4,34,2,3,1,4,-23418504,-23418504,-28977314,-31737874,2760560,5558810,0,22037766,19687396,2350370,-25768874,-45456270,-4164000,27573874,2760560,8081400,5320840,0,0,0,49506663,28150000,65.9565217391304
4128,4,34,3,3,1,2,65790045,58290045,54859925,39399855,15460070,3430120,7500000,34785505,22049345,12736160,53053885,31004540,44857000,5457145,15460070,31361130,15901060,0,0,0,60194531,420000,65.9565217391304
4129,4,34,3,8,2,1,32406758,29462338,23711758,12188035,11523723,5750580,2944420,55150608,52926618,2223990,30182768,-22743850,26654600,14466565,7840505,24731980,16891475,3683218,3683218,0,44831599,24000000,186
4131,3,40,2,5,3,3,187634228,187584228,187584228,115906788,71677440,0,50000,66375355,53953645,12421710,175212518,121258873,205720044,89813256,71677440,72667190,989750,0,0,0,0,153078266,103.966666666667
4132,3,40,3,3,1,1,25169372,25169372,25169372,13314472,11854900,0,0,20610295,13360475,7249820,17919552,4559077,24833760,11519288,11854900,22046380,10191480,0,0,0,1000000,24800000,103.966666666667
4134,5,34,3,6,1,1,23663758,21807505,10810575,7884051,2926524,10996930,1856253,20583120,18919570,1663550,22000208,3080638,26561280,18677229,2829138,15676026,12846888,97386,97386,0,806188,1850000,33.5
4135,4,34,1,3,1,3,-40029935,-40029935,-43822535,-43292185,-530350,3792600,0,16181003,14933703,1247300,-41277235,-56210938,10400000,53692185,-530350,0,530350,0,0,0,17770830,1440000,33.5
4136,3,34,3,1,2,1,10939870,7708190,6292290,-11133603,17425893,1415900,3231680,46829733,39638013,7191720,3748150,-35889863,7208440,18342043,2804643,11283375,8478732,14621250,14621250,0,35338750,5690000,15.92
4137,4,34,3,8,1,1,47143068,35143068,29940228,2370340,27569888,5202840,12000000,31568965,28861665,2707300,44435768,15574103,12111411,9741071,27569888,31947355,4377467,0,0,0,37504994,24000000,186
4138,3,34,2,1,4,1,50323981,50323981,50323981,31469211,18854770,0,0,94952054,85273616,9678438,40645543,-44628073,110100000,78630789,-255230,0,255230,19110000,19110000,0,0,52008029,18.1666666666667
4143,4,34,1,7,1,1,-478516,-478516,-4483516,-3447966,-1035550,4005000,0,23987387,21268757,2718630,-3197146,-24465903,0,3447966,-1035550,0,1035550,0,0,0,22850930,817000,37.921568627451
4145,2,34,3,6,3,1,-1546340,-1546340,-1546340,-6003340,4457000,0,0,24575465,23156845,1418620,-2964960,-26121805,37186800,43190140,857000,7487700,6630700,3600000,3600000,0,12000000,1505000,33.5
4146,3,40,3,3,1,4,46704467,44032057,41679287,3612370,38066917,2352770,2672410,48072485,41372135,6700350,40004117,-1368018,6600640,2988270,-230000,160000,390000,38296917,38296917,0,19865315,18765600,103.966666666667
4147,4,34,3,6,1,1,95574170,92122296,76500330,71798737,4701593,15621966,3451874,37181847,30506317,6675530,88898640,58392323,83751815,11953078,1705797,6435620,4729823,2995796,3162306,166510,20500000,40258200,33.5
4148,3,34,2,6,2,1,9279015,9279015,9279015,9228365,50650,0,0,37384790,32389790,4995000,4284015,-28105775,42009000,32780635,50650,87650,37000,0,0,0,33898600,168000,18.2333333333333
