"fno_임가_번호","age_연령별","ara1_지역별","de2_전/겸업별","jong_업종별","de2_1_가구원수별","ffsize_임지규모별","FOI_임가소득","OI_경상소득","FONP_임가순소득","FMI_임업소득","EFMI_임업외소득","TI_이전소득","NOI_비경상소득","HE_가계지출","CE_소비지출","NLE_비소비지출","FODI_임가처분가능소득","FOES_임가경제잉여","FMGR_임업총수입","FMOC_임업경영비","SJI_겸업소득","SJR_겸업수입","SJE_겸업지출","NBI_사업외소득","NBR_사업외수입","NBE_사업외지출","PR_재산적수입","PE_재산적지출","capt_b_기초_자본(순재산)","capt_e_기말_자본(순재산)","a00011_연초보유","a00012_연말보유","wt21_가중치"
1098,4,32,3,2,3,1,4616240,4568400,4568400,4619750,-51350,0,47840,29303200,25179700,4123500,492740,-24686960,4694750,75000,-51350,73400,124750,0,0,0,1000000,300000,517713300,502319800,1323000,1613600,24.1818181818182
1099,5,32,3,2,1,1,27565923.2,27471382,20004982,2640000,17364982,7466400,94541.2,10934491,10934491,0,27565923.2,16631432.2,2840000,200000,-333640,0,333640,17698622,17698622,0,488320,6500000,162536120,156468781,1424700,1758981,24.1818181818182
1100,3,32,3,2,1,2,23532370,23532370,23532370,2860000,20672370,0,0,61567370,57488190,4079180,19453190,-38035000,2860000,0,-768500,0,768500,21440870,21440870,0,0,9704000,421889600,387792970,1306100,1735370,24.1818181818182
1101,4,32,3,8,1,1,46903310,25193310,18176850,9896390,8280460,7016460,21710000,22148433,21132433,1016000,45887310,24754877,9905890,9500,5100460,5460995,360535,3180000,3180000,0,9248160,8640000,331309060,316754793,1207700,1865993,180.869565217391
1102,4,32,3,8,1,1,10523260,10523260,5140580,3657400,1483180,5382680,0,13099470,13099470,0,10523260,-2576210,4197400,540000,1483180,1813360,330180,0,0,0,0,0,378824900,361257540,1709800,1819040,180.869565217391
1103,4,32,3,8,4,1,15171900,15171900,10951900,1067500,9884400,4220000,0,27648819,25093795,2555024,12616876,-12476919,1092500,25000,884400,1100000,215600,9000000,9000000,0,0,0,227460700,213681891,1734500,1755691,180.869565217391
1104,5,32,3,2,1,1,25790673,25140673,13789923,1650850,12139073,11350750,650000,12765591,10702911,2062680,23727993,13025082,1801550,150700,9655073,16520249,6865176,2484000,2484000,0,8318000,15940000,185950604,183906659,1538000,1894855,24.1818181818182
1105,5,32,3,8,1,2,8087390,7177390,7177390,3560030,3617360,0,910000,11528552,11184332,344220,7743170,-3441162,4087260,527230,3232360,3908020,675660,385000,385000,0,0,5500000,488062200,484782749,1473600,1760949,180.869565217391
1106,4,32,2,8,1,1,22042301,21652301,12062301,-1816299,13878600,9590000,390000,26754180,25105120,1649060,20393241,-4711879,157950,1974249,2600000,3040000,440000,11278600,11278600,0,0,6720000,243458200,233844700,1303400,1694000,193.4375
1107,1,32,3,7,1,1,135658538.5,135658538.5,134605793.5,-25566130,160171923.5,1052745,0,34604775,18939350,15665425,119993113.5,101053763.5,1500000,27066130,160171923.5,180820000,20648076.5,0,0,0,0,2525000,616385600,579795800,0,1510000,90.3888888888889
2001,4,31,3,2,1,1,18632940,18307940,10578940,9118540,1460400,7729000,325000,10409600,9809600,600000,18032940,8223340,9318540,200000,-1669600,6980600,8650200,3130000,3130000,0,0,6100000,106033300,107591770,1900000,1694870,124.896551724138
2002,4,31,3,5,1,2,25479703,25479703,14423703,-816620,15240323,11056000,0,48694975,43032405,5662570,19817133,-23215272,0,816620,-13579677,4180000,17759677,28820000,28820000,0,832440000,328614300,771545330,690477506,1900000,2455676,14.5
