STN,연도,평균기온,최저기온평균,최고기온평균,연강수량,연일조시간,관측일수,평균습도,연일사량,연증발량,연안개시간,지중온도_05m,생육기평균기온,생육기강수량,서리일수,초상서리일수,개화기저온일수,폭염일수,호우일수
106.0,2021,13.554246575342466,9.772802197802198,17.605479452054794,1244.6,2383.1,365,66.39890410958904,0.0,0.0,0.0,,18.957943925233646,1099.2,52,111,2,0,2
106.0,2022,13.746849315068495,9.947671232876713,17.85945205479452,1101.4,2402.1,365,63.92082191780821,0.0,0.0,0.0,,19.55560747663551,939.3,68,124,0,5,1
106.0,2023,14.483013698630138,10.628493150684932,18.523287671232875,1356.7,2457.7,365,65.75260273972603,0.0,0.0,0.0,,20.057943925233644,957.1999999999999,51,126,0,8,3
106.0,2024,14.73791208791209,10.930327868852459,19.131147540983605,1275.0,2154.1,366,68.175,3831.11,1095.5,0.0,,21.14433962264151,917.0,58,107,0,17,1
108.0,2019,13.598904109589043,9.321095890410959,18.60219178082192,891.3,2542.2,365,56.806301369863014,5018.43,1493.5,8.48,14.670054945054945,20.900000000000002,739.3,88,141,3,15,0
108.0,2020,13.271857923497267,9.389617486338798,17.867213114754097,1651.1,2263.7,366,63.244535519125684,5116.25,1428.6,0.78,14.876712328767123,19.924766355140186,1396.5,80,139,1,4,4
108.0,2021,13.752054794520548,9.6760989010989,18.491780821917807,1186.5,2190.1,365,65.54520547945205,5151.69,1415.1,5.57,15.107945205479451,20.904205607476637,979.3000000000001,70,122,0,18,0
108.0,2022,13.296164383561646,9.259779614325069,18.07780821917808,1775.3,2325.2,365,64.51095890410959,5325.9,1454.3,0.17,15.10931506849315,21.036448598130843,1564.3999999999999,89,144,0,10,6
108.0,2023,14.109041095890412,10.226519337016574,18.8,1598.8,2224.0,365,66.68164383561644,5186.0,1413.5,22.05,15.394520547945206,21.452803738317755,1371.6,85,140,0,19,2
108.0,2024,14.875409836065574,10.975136612021858,19.539890710382515,1311.4,2231.9,366,65.85464480874317,5235.59,1480.2,10.05,15.974590163934426,22.50467289719626,1122.2,80,121,0,33,2
112.0,2019,13.252054794520548,10.10524861878453,17.11835616438356,919.5,2672.9,365,65.23178082191781,5279.95,1470.3,163.29,14.143561643835616,20.215420560747667,749.4,73,124,0,9,1
112.0,2020,12.855737704918033,9.850546448087432,16.344535519125685,1311.9,2616.5,366,66.43825136612023,5154.45,1408.8,150.72,14.218852459016395,19.17056074766355,1114.7,66,121,0,1,3
112.0,2021,13.412876712328767,10.088461538461537,17.176712328767124,1071.8,2573.3,365,61.82904109589041,5146.24,1504.4,179.14,14.456593406593406,20.3696261682243,864.4,69,102,0,8,1
112.0,2022,12.646703296703295,9.39972602739726,16.361369863013696,1620.5,2472.1,365,65.84958904109588,5496.68,1427.5,111.97,14.297260273972602,19.927570093457945,1433.5,90,115,0,2,7
112.0,2023,13.463561643835616,10.298626373626373,17.192054794520548,1331.4,2346.5,365,68.71561643835616,5324.94,1376.0,147.17,14.618356164383561,20.679439252336447,1134.7,82,119,0,3,2
112.0,2024,14.251912568306011,11.06584699453552,18.02622950819672,1060.8,2414.7,366,69.91612021857924,5492.42,1423.4,93.56,15.425409836065572,21.57897196261682,894.3,77,114,0,13,1
